"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"北園第一公園","北園町12-3","","","","街区公園","134.00495627889453","35.074883611772606"
"山下児童公園","山下30-16","","","","街区公園","134.00225704080677","35.060961407395162"
"城西児童公園","小田中1302-1","","","","街区公園","133.99397281482734","35.0630925231673"
"城北第一公園（大月公園）","小原139-2","","","","街区公園","134.00073863306824","35.081765441533285"
"城北第二公園（才ノ神公園）","小原181-5","","","","街区公園","134.00092994616529","35.087502912077007"
"城北第三公園（仲田公園）","上河原216-5","","","","街区公園","134.00276469765151","35.084078429497112"
"城北第四公園（半峪公園）","上河原224-3","","","","街区公園","134.00560324252308","35.08434492398974"
"高野第一公園","高野山西426","","","","街区公園","134.04651796942954","35.076191711049006"
"高野第二公園","高野本郷1262","","","","街区公園","134.04736919733426","35.0722360829626"
"沼第一公園（角田公園）","大田87","","","","街区公園","134.00790338424562","35.085048403668914"
"沼第二公園（吉備生公園）","沼4-3","","","","街区公園","134.00795580327022","35.081792790947482"
"沼第三公園（竹の下公園）","沼68-2","","","","街区公園","134.011390844822","35.076944863718609"
"沼第四公園（的場公園）","沼91-3","","","","街区公園","134.01165979057231","35.072054412327056"
"沼第五公園（昭和公園）","山北765","","","","街区公園","134.00960147634868","35.074189871049754"
"院庄東公園","院庄625-1","","","","街区公園","133.9520357205364","35.055928884411649"
"高野川東公園","河面1325-1","","","","街区公園","134.07144406821089","35.078249759857812"
"小橋公園","院庄992-2","","","","街区公園","133.94945241836672","35.061593891340323"
"野辺公園","東一宮1300","","","","街区公園","134.00433107494172","35.095720592404106"
"天王公園","東一宮1304","","","","街区公園","133.99783940235847","35.100561928017683"
"知原公園","東一宮1303","","","","街区公園","134.00714555291128","35.100697488832367"
"鳥居公園","東一宮1302","","","","街区公園","134.004638886672","35.099341251935542"
"北園第二公園","北園町33-4","","","","街区公園","134.00532612726965","35.077706417024785"
"鴨川公園","高野本郷1620-2","","","","街区公園","134.06057376120222","35.07865958980922"
"大隈公園","大谷160-1","","","","街区公園","134.00107568293257","35.053439992714239"
"西海寺公園","横山26-1","","","","街区公園","134.00428603746224","35.053972617597985"
"堂ノ前公園","横山71-1","","","","街区公園","134.00604618565782","35.052046540390343"
"皿川公園","平福","","","","街区公園","133.97302229118674","35.050853740482225"
"東部運動公園","川崎1610","","","","近隣公園","134.03421083720562","35.066881923190479"
"下河原公園","東一宮1301","","","","近隣公園","133.99915919813921","35.095874461635631"
"中核工業団地公園","金井565-10","","","","近隣公園","134.05677776212198","35.0419135076742"
"流通第二公園","下田邑2323-2","","","","近隣公園","133.947969599223","35.081156455084681"
"流通第三公園","上田邑2-25","","","","近隣公園","133.946544269801","35.08696241095128"
"衆楽公園","山北628-1","","","","総合公園","134.00590215807662","35.071115380537314"
"津山スポーツセンター","勝部20-1","0868-24-3773","","","運動公園","134.01776068559607","35.085780602816151"
"神楽尾公園","総社240","","","","特殊公園（風致公園）","133.99185463691887","35.078954647555129"
"鶴山公園","山下132","","","","特殊公園（歴史公園）","134.00537506973174","35.062754172027681"
"津山河岸緑地","津山口他","","","","緑地","133.99936293263235","35.05580787894182"
"流通第一緑地","戸島893-3","","","","緑地","133.94592024538628","35.075905937204517"
"院庄河岸緑地","院庄","","","","緑地","133.95168635543314","35.051900221445806"
"石坂公園","椿高下37-4","","","","広場公園","134.00090447155387","35.064894614266088"
"兼田児童公園","川崎1793-1","","","","その他","134.03658720820957","35.060727931030925"
"グリーンヒルズ津山","大田487","","","http://www.g-h.cc/","岡山県施設","134.01070547755583","35.097220875142071"
"ほたる公園","上野田329","","","","街区公園","134.09735850688037","35.0838796469959"
"日本原工業団地公園","新野東1563-5","","","","街区公園","134.12454246513724","35.110351421272618"
"野山公園","久米川南3123","","","","街区公園","133.94435255935537","35.047026555495833"
"倭文ふれあい公園","桑上501","","","","街区公園","133.91386425661472","35.019907874676221"
"パークロード白鳳の広場","宮尾554－1","","","","街区公園","133.92191437331553","35.05611717665888"
"大井東コミュニティ公園","宮部下860-1","","","","街区公園","133.88126856918373","35.07019647032368"
"領家コミュニティ広場","領家826-1","","","","街区公園","133.91354496362061","35.0605780907372"
"柳遊園地","南方中569-3","","","","街区公園","133.88953471501719","35.059055306063279"
"下野田ウォーターパーク","下野田","","","","近隣公園","134.10048269214718","35.071450764335907"
"打田池公園","くめ50-64","","","","近隣公園","133.92152196395355","35.060328146218225"
"赤岩公園","くめ50-42","","","","近隣公園","133.92851413599104","35.059287521480414"
"勝北総合スポーツ公園","西下1100-1","0868-36-5800","","","運動公園","134.08780622794714","35.103941003098157"
"梅の里公園","神代606-1","","","","特殊公園（植物公園）","133.90201295402403","35.0379300349937"
"塔中コミュニティ公園","加茂町塔中21","","","","その他","134.05442733213036","35.177005392485434"
"人咲く、水と森の郷　川の学校公園","加茂町公郷","","","","その他","134.06179390902258","35.166896320896079"
"竹之下レインボー園地","阿波3459-3","","","","その他","134.11278276487124","35.2348270465935"
"釜森公園","阿波3977-2","","","","その他","134.11336749508587","35.223459112132616"
"一ノ渡公園","阿波25-1","","","","その他","134.11274907682821","35.222947096834758"
"ホタルの里公園","宮部上1804-2","","","","その他","133.86883955499567","35.075909149865318"
"花と渓流の里公園","八社802-1","","","","その他","133.9006669684307","34.997800713849863"
"油木上公園","油木上508-4","","","","その他","133.88937623675798","35.011413308571548"
"久米山","久米川南","","","","その他","133.91946555081049","35.045316177009632"
"津川ダム公園","加茂町下津川998-2","","","","岡山県施設","134.10689797365237","35.170630604568458"
"津川ダム周辺公園","奥津川","","","","岡山県施設","134.11349642727126","35.171221658462628"
"せせらぎ緑地","東一宮","","","","緑地","134.00065649498916","35.095458600576983"
"西部公園","二宮420","","","","地区公園","133.96244428689133","35.066238812172045"
"井口公園","井口25-2","","","","近隣公園","133.98943129541135","35.053573691643976"
