"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"グリーンヒルズ津山　グラスハウス","大田512","0868-27-7140","","http://www.mizuno.jp/facility/okayama/tsuyama/","","134.00938745666312","35.096147343622746"
"市民プールレインボー","中北下1253","0868-57-2311","","http://www.nsi-sports.co.jp/school/rainbow/top","津山市久米総合文化運動公園内","133.89944239733114","35.061967577311719"
"中央公民館体育館","大谷600","0868-24-5111","","","","133.99335094486574","35.052718182489087"
"中央公民館グラウンド","大谷600","","","","","133.99454593462451","35.052638095376373"
"津山勤労者総合福祉センター","勝部20-7","0868-22-5450","","","体育館","134.01536573017492","35.08575796722743"
"津山市福岡体育館","横山1234-1","0868-24-0202","","","","134.01003221413148","35.053163816707027"
"緑水園文化体育館","川崎458","0868-26-1352","","","","134.03170687701771","35.0563030189055"
"西部運動公園","二宮420","0868-24-3773","","http://www.tvt.ne.jp/~sportska/","グラウンド・テニスコート","133.96166037613912","35.06689773966044"
"草加部グラウンド","草加部1144-8","0868-24-3773","","","","134.07232715529071","35.099772240672081"
"勝北中学校夜間照明施設","原371","","","http://www.tvt.ne.jp/~sportska/","","134.10618478979441","35.0993886797727"
"勝北総合スポーツ公園","西下1100-1","0868-36-5800","","http://www.tvt.ne.jp/~sportska/","野球場・多目的広場・テニス場・プール・ゲートボール場・管理センター会議室","134.0874910466222","35.10483282311187"
"岡山県津山東体育館","林田1200-2","0868-24-0202","","http://www.tvt.ne.jp/~sportska/","","134.01470114234144","35.067454274970338"
"岡山県津山総合体育館","山北669","0868-24-0202","","http://www.tvt.ne.jp/~sportska/","","134.00846190103914","35.068990774944943"
"岡山県津山陸上競技場","志戸部245","0868-24-3773","","http://www.tvt.ne.jp/~sportska/","","134.01818495672646","35.082410890140018"
"津山市東部小体育館","草加部1186-1","0868-24-3773","","","","134.07268398237321","35.099481504602771"
"東部運動公園グラウンド","川崎1610","0868-24-3773","","http://www.tvt.ne.jp/~sportska/","","134.03387808652784","35.066901646398925"
"津山スポーツセンター","勝部20-2","0868-24-3773","","http://www.tvt.ne.jp/~sportska/","野球場・サッカーラグビー場・テニスコート","134.01795378149231","35.085395155704667"
"津山市ターゲットバードゴルフ場","市場2147-1","0868-36-5800","","http://www.tvt.ne.jp/~sportska/","日本原コース","134.12898925694418","35.119490678869226"
"津山市久米総合文化運動公園","中北下1271","0868-57-2900","","http://www.tvt.ne.jp/~sportska/","多目的広場グラウンド　体育館　テニスコート　民具館研修室","133.89974271945107","35.061288061237754"
"津山市加茂町スポーツセンター","加茂町中原493-3","0868-42-3358","","http://www.tvt.ne.jp/~sportska/","体育館・プール「加茂町Ｂ＆Ｇ海洋センター」・総合グラウンド・ソフトボール場・テニスコート・体操練習場・屋内ゲートボール場","134.04642959652892","35.175918259164213"
"津山市加茂町武道館","加茂町桑原280","0868-42-3358","","http://www.tvt.ne.jp/~sportska/","","134.05704320342127","35.175548939125868"
"津山市西部小体育館","院庄1242-6","0868-24-3773","","","","133.9537188186095","35.063683176474569"
"津山市阿波グラウンド","阿波3303","0868-32-7042","","http://www.tvt.ne.jp/~sportska/","","134.11341004788221","35.243843004809875"
"阿波ふるさとふれあい会館","阿波3307","0868-32-7042","","http://www.tvt.ne.jp/~sportska/","ゲートボール場","134.11339729083122","35.244453379321776"
"津山東武道場","林田1514","0868-24-0202","","http://www.tvt.ne.jp/~sportska/","","134.01401615040092","35.067269549567385"
"中央公園グラウンド","山北669","0868-24-0202","","http://www.tvt.ne.jp/~sportska/","","134.00704944654328","35.068338754406518"
"津山市弓道場","山北669","0868-24-0202","","http://www.tvt.ne.jp/~sportska/","","134.0067967588393","35.068918071265749"
