全国地方公共団体コード,都道府県名,公表日,0歳,1～4歳,5～9歳,10～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～64歳,65～69歳,70～79歳,80～89歳,90歳以上,不明,合計
330001,岡山県,2022/9/27,3,47,71,101,60,76,84,47,17,7,28,14,6,0,561
330001,岡山県,2022/9/28,7,33,74,156,117,104,127,73,22,15,41,22,9,0,800
330001,岡山県,2022/9/29,6,37,54,117,99,111,100,50,32,13,28,20,9,0,676
330001,岡山県,2022/9/30,3,25,31,104,84,96,93,68,29,15,27,23,5,0,603
330001,岡山県,2022/10/1,6,35,40,88,59,93,74,53,18,18,23,19,3,0,529
330001,岡山県,2022/10/2,8,23,67,87,70,77,62,39,18,13,17,7,3,0,491
330001,岡山県,2022/10/3,3,22,29,55,23,31,35,31,7,4,11,7,7,0,265
330001,岡山県,2022/10/4,5,41,71,146,96,76,85,40,22,13,20,20,7,0,642
330001,岡山県,2022/10/5,4,44,64,153,94,110,78,71,21,14,31,16,7,0,707
330001,岡山県,2022/10/6,4,34,68,134,87,87,88,59,18,11,22,15,5,0,632
330001,岡山県,2022/10/7,3,27,52,109,61,84,73,34,9,7,24,18,4,0,505
330001,岡山県,2022/10/8,3,33,58,96,62,83,69,41,23,13,21,13,8,0,523
330001,岡山県,2022/10/9,5,28,70,77,37,47,61,35,16,9,10,10,5,0,410
330001,岡山県,2022/10/10,5,16,37,53,34,49,49,27,13,7,7,9,0,0,306
330001,岡山県,2022/10/11,3,11,30,34,16,28,34,13,6,1,5,3,1,0,185
330001,岡山県,2022/10/12,7,50,127,183,57,141,135,59,29,16,42,23,11,0,880
330001,岡山県,2022/10/13,13,69,118,162,110,145,149,82,33,25,30,16,8,0,960
330001,岡山県,2022/10/14,6,43,85,111,75,130,120,62,27,19,21,12,7,0,718
330001,岡山県,2022/10/15,6,39,77,123,80,107,133,65,26,17,35,9,6,0,723
330001,岡山県,2022/10/16,5,34,69,109,56,106,78,53,10,19,28,12,2,0,581
330001,岡山県,2022/10/17,2,18,35,54,49,52,53,24,9,4,19,3,5,0,327
330001,岡山県,2022/10/18,8,32,88,124,89,121,110,76,22,17,35,20,9,0,751
330001,岡山県,2022/10/19,10,36,89,161,94,124,142,89,25,20,38,12,5,0,845
330001,岡山県,2022/10/20,2,29,65,87,93,94,90,60,31,12,26,16,6,0,611
330001,岡山県,2022/10/21,5,28,55,103,70,94,105,46,27,15,23,22,6,0,599
330001,岡山県,2022/10/22,2,27,52,101,71,70,91,47,19,14,23,20,3,0,540
330001,岡山県,2022/10/23,5,36,50,127,68,74,90,60,21,12,27,12,9,0,591
330001,岡山県,2022/10/24,3,13,37,61,34,54,49,37,15,7,14,5,2,0,331
330001,岡山県,2022/10/25,3,29,77,157,94,94,104,77,24,17,30,31,10,0,747
330001,岡山県,2022/10/26,6,30,68,167,105,110,160,95,43,18,26,12,3,0,843
330001,岡山県,2022/10/27,6,25,59,125,85,120,98,68,28,15,29,12,9,0,679
330001,岡山県,2022/10/28,6,22,52,99,76,96,109,68,28,15,25,11,8,0,615
