"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"鶴山小学校ひよこ児童クラブ","志戸部188-1","0868-24-2812","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：鶴山小","134.02184973427785","35.079691580277647"
"やよいなかよし児童クラブ","大田91-10","0868-35-3500","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：弥生小","134.00891916950121","35.083730203921746"
"北小ひなづる児童クラブ","山北238","0868-23-9245","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：北小<BR>北小学校内","134.00034728452781","35.068751490377238"
"たかの児童クラブ（１組、２組）","高野本郷1459-1","0868-26-1037","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：高野小<BR>高野保育園隣接","134.05576119196013","35.072486740216149"
"大崎児童クラブ","金井76","0868-26-5102","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：大崎小<BR>大崎小学校内","134.06481770467212","35.043974806850535"
"林田たんぽぽ児童クラブ","野介代805-4","0868-35-0308","0868-35-0308","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：林田小<BR>専用施設","134.02481349903132","35.065044999816905"
"向陽ひまわり児童クラブ","二宮608-1","0868-28-8040","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：向陽小<BR>向陽小学校敷地内","133.96447969359838","35.059734591245132"
"河辺小児童クラブ","国分寺505","0868-21-0211","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：河辺小","134.04264189995527","35.049497499410329"
"高田小げんき児童クラブ","下横野1075","0868-27-2671","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：高田小<BR>高田小学校内","134.02470625513223","35.115868518597921"
"西小のびのび児童クラブ","小田中1360","0868-23-8804","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：西小<BR>西小学校内","133.99162179799578","35.062363737239714"
"ひろの児童クラブ","田熊2169","0868-29-0036","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：広野小<BR>広野保育園内","134.08370315721604","35.066542246848563"
"成名児童クラブ","野村135-2","0868-29-1811","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：成名小<BR>成名小学校内","134.0735434889063","35.090521368201117"
"高倉わくわく児童クラブ","下高倉西12","0868-29-1118","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：高倉小<BR>高倉小学校内","134.04307608553941","35.099317882543225"
"さくらっ子児童クラブ","神戸322","0868-28-2250","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：院庄小","133.94170514398641","35.057789621346075"
"勝加茂放課後児童クラブ","中村125","0868-29-3467","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：勝加茂小<BR>勝加茂小学校内","134.10219748998122","35.090372568988982"
"かもっこ児童クラブ","加茂町塔中80","0868-42-2553","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：加茂小<BR>加茂小学校内","134.05652463867762","35.177913125506144"
"学童保育日本原荘","新野東1787-17","0868-36-3838","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：新野小・広戸小<BR>社福）法人日本原荘","134.12762070647133","35.104476083021339"
"秀実っ子いきいき児童クラブ","里公文1676-7","0868-57-3730","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：秀実小<BR>倭文ふれあい学習館内","133.90887912842169","35.0232447287207"
"地域児童健全育成施設わらべ","林田1695-3","0868-31-1787","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区不問<BR>社福）法人菜花の里","134.01303339275833","35.065426035038996"
"放課後児童健全育成センター津山","山北471","0868-32-0439","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区不問<BR>財）神伝流津山游泳会","134.00310130116972","35.067496581539359"
"一宮小あおぞら児童クラブ","東一宮87-1","0868-27-2720","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：一宮小<BR>一宮小学校敷地内","133.99976157072081","35.100594834172909"
"東小ひまわり児童クラブ","山北740","0868-23-4277","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：東小<BR>東小学校内","134.00819435018329","35.070929942046128"
"さらっこ児童クラブ","皿675-3","0868-28-5558","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：佐良山小<BR>佐良山公民館内","133.96959074544438","35.04389673887222"
"南小こばと児童クラブ","昭和町２丁目73-1","0868-24-3449","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：南小","133.99530748296502","35.054841314574972"
"清泉児童クラブ","堀坂254-6","0868-29-7520","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：清泉小","134.07040562127952","35.123383623507131"
"たかの児童クラブ（３組）","高野山西553-1","0868-26-1037","","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：高野小<BR>高野第２保育園内","134.04657457485976","35.077020733823417"
"美作大学附属みまっぱ児童クラブ","津山市北園町７５","0868-22-7500","0868-22-7512","https://www.city.tsuyama.lg.jp/life/index2.php?id=401","学区：全学区＜BR＞美作大学附属幼稚園内","134.00753822387344","35.075061924097476"
"","","","","","","133.99867736262954","35.065701655403025"
