"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"誠道小学校","久米川南919","0868-57-2785","0868-57-2107","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.91885202004735","35.053902472530858"
"秀実小学校","桑上1","0868-57-3009","0868-57-2108","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.91020933851757","35.023657141018852"
"中正小学校","宮部下686","0868-57-2010","0868-57-2078","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.88424722520003","35.070908343929126"
"喬松小学校","坪井上100-1","0868-57-2014","0858-57-2028","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.85387782504736","35.061670975951891"
"広戸小学校","市場1080-1","0868-36-2047","0868-36-7217","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.12338158388462","35.127841063986239"
"新野小学校","西中591","0868-36-2113","0868-36-7601","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.10815728487353","35.109759216511655"
"加茂小学校","加茂町塔中80","0868-42-3023","0868-42-3024","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.05619838434765","35.177540137377434"
"勝加茂小学校","中村125","0868-29-0195","0868-29-7207","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.10191728384711","35.090290515738062"
"広野小学校","田熊1943","0868-29-1501","0868-29-1154","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.08251213920838","35.069897820344487"
"大崎小学校","金井76","0868-26-1314","0868-26-1368","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.06528568836978","35.044090922505951"
"河辺小学校","国分寺505","0868-26-1302","0868-26-9868","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.04276474002546","35.049448060906407"
"成名小学校","野村135-2","0868-29-1505","0868-29-1027","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.07359317167905","35.090210012227274"
"高野小学校","高野本郷1041","0868-26-1609","0868-26-1879","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.05265476907351","35.076131500085708"
"高倉小学校","下高倉西12","0868-29-0709","0868-29-1148","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.04340686124203","35.099570405232924"
"清泉小学校","綾部407","0868-29-1518","0868-29-1019","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.07071804530662","35.119328732842639"
"高田小学校","下横野1075","0868-27-0345","0868-27-2322","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.02449451302553","35.116140136650422"
"一宮小学校","東一宮87-1","0868-27-0100","0868-27-0256","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.00006218207886","35.101597283716266"
"佐良山小学校","皿657-2","0868-28-0605","0868-28-0620","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.96942138402966","35.044499822109948"
"院庄小学校","院庄1041","0868-28-0606","0868-28-0718","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.94731410567991","35.060674496860045"
"向陽小学校","二宮608-1","0868-28-0553","0868-28-0189","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.96456674708142","35.060265057622956"
"弥生小学校","大田121","0868-27-1530","0868-27-1810","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.00993542513353","35.085924637289743"
"鶴山小学校","志戸部121","0868-24-4701","0868-24-5503","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.02311256867193","35.079185065978677"
"林田小学校","川崎850","0868-22-2764","0868-22-2902","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.02559170076466","35.064903013609644"
"北小学校","山北238","0868-22-8168","0868-22-8169","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.00105383023225","35.069381302646633"
"南小学校","昭和町二丁目73－1","0868-22-8145","0868-22-8146","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.9955163685145","35.055023144577589"
"西小学校","小田中1360","0868-22-9194","0868-22-9195","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","133.99200149411811","35.0620418766642"
"東小学校","山北740","0868-22-8268","0868-22-8269","https://www.city.tsuyama.lg.jp/life/index2.php?id=275","","134.00896875705726","35.071225205777047"
