"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"東津山保育園","川崎170-1","0868-26-2100","0868-26-2166","http://higashitsuyama-hoikuen.com/index.html","私立","134.03123754594731","35.059413233658169"
"林田保育園","川崎859-1","0868-26-2130","0868-26-7948","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","134.02693018183811","35.0648140475501"
"田町保育園","田町29","0868-22-5553","0868-22-5558","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","134.00065813780353","35.063728433766279"
"津山乳児保育園","小田中1380-6","0868-22-6942","0868-22-6716","http://www.tsuyamafukushi.or.jp/kosodate/nyuji/","私立","133.99345275326331","35.06135864332682"
"城西保育園","小田中1381-3","0868-22-2408","0868-22-2416","http://www.tsuyamafukushi.or.jp/kosodate/jyosai/","私立","133.99347792891993","35.06169910479047"
"城北保育園","上河原217-5","0868-23-0353","0868-22-9565","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","134.00227868519823","35.083599557371656"
"総社保育園","総社27-1","0868-23-8233","0868-23-7048","http://www.souja-kids.com/index.html","私立","133.99718038230591","35.074616860020107"
"やよい保育園","勝部343-2","0868-23-0306","0868-23-0329","http://www.ans.co.jp/n/yayoi/","私立","134.02270815328527","35.0846217179291"
"二宮保育園","二宮2170","0868-28-3245","0868-28-2446","http://www.ninomiyahoikuen.jp/","私立","133.97002572367515","35.059183490714162"
"院庄保育園","院庄1039-1","0868-28-2475","0868-28-2150","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","133.94756819649834","35.059960791836993"
"作陽保育園","大谷412-9","0868-22-4446","0868-22-4024","http://www.hakase.co.jp/shop/sakuyo/sakuyo.htm","私立","133.99481864459398","35.05384443358124"
"田邑保育園","下田邑114-3","0868-28-2729","0868-28-2758","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","133.96803859285185","35.08208043989508"
"高倉ひかり保育園","下高倉西813-2","0868-29-0276","0868-29-0136","http://www.kosodate-web.com/takakurahikari/","私立","134.0422398478664","35.098055661737675"
"高野第二保育園","高野山西553-1","0868-26-4368","0868-26-5342","http://takanodai2.com/","私立","134.046465173277","35.076870735889273"
"高野保育園","高野本郷1457-8","0868-26-1037","0868-26-1518","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","134.05549576951128","35.072516565746326"
"国分寺保育園","国分寺454-2","0868-26-2032","0868-26-3518","http://www.ans.co.jp/n/okokubunji/","私立","134.03840852041577","35.049021046749786"
"加茂保育園","加茂町小中原41","0868-42-3027","0868-42-4500","http://www.kamo.ed.jp/","私立","134.05218287204312","35.178296281061961"
"津山保育園","山下30-6","0868-22-3376","0868-22-3727","http://www.tsuyamafukushi.or.jp/kosodate/tsuyama/","私立","134.00264038993515","35.061507980221968"
"広野保育園","田熊2169","0868-29-0036","0868-29-2353","http://www.iwc-hirono.jp/","私立","134.08356260480394","35.066535539102937"
"大崎保育園","西吉田36-1","0868-26-4977","0868-26-6466","http://ohsakihoikuen.ed.jp/","私立","134.06263032048233","35.047799903293544"
"城東保育園","川崎732-3","0868-22-3977","0868-22-3961","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","私立","134.01744341378395","35.064657783862181"
"福岡保育園","横山1232","0868-22-8053","0868-22-8016","http://www.kosodate-web.com/fukuoka/","私立","134.01044330788696","35.053065886100093"
"KOKKO保育園","津山口327","0868-24-1011","0868-24-1061","http://www.eharakeimeikai.jp/kokko/","私立","133.98140672783677","35.055927005184095"
"一宮保育所","東一宮1227","0868-27-0300","0868-27-0300","https://www.city.tsuyama.lg.jp/life/index2.php?id=2517","公立","133.99532173176385","35.100871246091735"
"久米保育所","南方中1744-1","0868-57-2501","0868-57-2308","http://www.kumehoikusyo.jp/","公設民営","133.90364423001469","35.057691297389418"
"倭文保育所","津山市里公文1754-1","0868-57-3021","0868-57-3021","http://www.shitorihoikusyo.jp/","公設民営","133.90679787321903","35.021890233278363"
