Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,1頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,1,,,,"010,344,9
",,,,小谷内科小児科医院,,,,,"〒700－0865
岡山市北区旭本町１０－１０",,,"086-223-8338
常　勤:　　　 1
(医　　　　 1)",,,小谷　秀成,,,小谷　秀成,,,,"昭41. 5. 1

平29. 5. 1",,,,内　小,,,,"診療所
現存
",,,,
,,2,,,,"010,566,7
",,,,おくむら大腸肛門クリニック,,,,,"〒700－0821
岡山市北区中山下２丁目２－７４",,,"086-222-4507
常　勤:　　　 2
(医　　　　 2)",,,奥村　周三,,,奥村　周三,,,,"昭48. 7. 1

平30. 7. 1",,,,"一般　　     19
他",,,,"診療所
現存
",,,,
,,3,,,,"010,568,3
",,,,古元医院,,,,,"〒701－1223
岡山市北区大窪４８２",,,"08628-4-3736
常　勤:　　　 2
(医　　　　 2)",,,古元　裕,,,古元　裕,,,,"昭48. 7. 1

平30. 7. 1",,,,"一般　　      3
内　小　皮　放",,,,"診療所
現存
",,,,
,,4,,,,"010,595,6
",,,,耳鼻咽喉科菰口医院,,,,,"〒700－0837
岡山市北区南中央町１０－１９",,,"086-222-9633
常　勤:　　　 1
(医　　　　 1)",,,菰口　英夫,,,菰口　英夫,,,,"昭49. 10. 24

平28. 10. 24",,,,耳い,,,,"診療所
現存
",,,,
,,5,,,,"010,610,3
",,,,國富内科医院,,,,,"〒709－0631
岡山市東区東平島９６－１",,,"086-297-3277
常　勤:　　　 2
(医　　　　 2)",,,國富　昭夫,,,國富　昭夫,,,,"昭50. 7. 1

平29. 7. 1",,,,内　小　放,,,,"診療所
現存
",,,,
,,6,,,,"010,630,1
",,,,藤森内科胃腸科医院,,,,,"〒703－8231
岡山市中区赤田字二反町６６－１",,,"086-272-5752
常　勤:　　　 2
(医　　　　 2)",,,藤森　明良,,,藤森　明良,,,,"昭51. 12. 1

平27. 12. 1",,,,内　呼　胃　循　小　放　アレ,,,,"診療所
現存
",,,,
,,7,,,,"010,652,5
",,,,操南整形外科医院,,,,,"〒702－8002
岡山市中区桑野２９１－１０",,,"086-277-5807
常　勤:　　　 1
(医　　　　 1)",,,三浦　成昭,,,三浦　成昭,,,,"昭53. 1. 1

平29. 1. 1",,,,整外　リハ　リウ,,,,"診療所
現存
",,,,
,,8,,,,"010,655,8
",,,,くにとみ外科胃腸科医院,,,,,"〒703－8236
岡山市中区国富１丁目１４番８号",,,"086-271-1358
常　勤:　　　 3
(医　　　　 2)
(薬　　　　 1)",,,岡﨑　邦泰,,,岡﨑　邦泰,,,,"昭53. 3. 1

平29. 3. 1",,,,乳腺外科　外　胃　麻,,,,"診療所
現存
",,,,
,,9,,,,"010,674,9
",,,,西下内科医院,,,,,"〒700－0086
岡山市北区津島西坂１－２－４１",,,"086-253-8131
常　勤:　　　 2
(医　　　　 2)",,,西下　駿三,,,西下　駿三,,,,"昭53. 9. 1

平29. 9. 1",,,,内　小　放,,,,"診療所
現存
",,,,
,,10,,,,"010,708,5
",,,,小見山整形外科医院,,,,,"〒700－0983
岡山市北区東島田町１－５－２",,,"086-232-1210
常　勤:　　　 2
(医　　　　 2)",,,小見山　喜充,,,小見山　喜充,,,,"昭54. 12. 1

平27. 12. 1",,,,"一般　　     17
整外　リハ　放",,,,"診療所
現存
",,,,
,,11,,,,"010,713,5
",,,,尾上整形外科医院,,,,,"〒701－0144
岡山市北区久米３６１",,,"086-243-3232
常　勤:　　　 1
(医　　　　 1)",,,尾上　寧,,,尾上　寧,,,,"昭55. 2. 1

平28. 2. 1",,,,整外　リハ　放　リウ,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　医科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,2頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,12,,,,"010,742,4
",,,,野上医院,,,,,"〒703－8204
岡山市中区雄町４９０－１",,,"086-279-3018
常　勤:　　　 1
(医　　　　 1)",,,野上　一郎,,,野上　一郎,,,,"昭56. 1. 1

平29. 1. 1",,,,内　産婦　アレ,,,,"診療所
現存
",,,,
,,13,,,,"010,744,0
",,,,渡辺医院,,,,,"〒700－0986
岡山市北区新屋敷町３丁目１６番１９号",,,"086-243-6229
常　勤:　　　 1
(医　　　　 1)",,,渡辺　節生,,,渡辺　節生,,,,"昭56. 4. 1

平29. 4. 1",,,,内　呼　胃　循　小　リハ　放,,,,"診療所
現存
",,,,
,,14,,,,"010,747,3
",,,,北山胃腸科外科医院,,,,,"〒702－8042
岡山市南区洲崎２－９－１８",,,"086-264-6811
常　勤:　　　 1
(医　　　　 1)",,,北山　陽太郎,,,北山　陽太郎,,,,"昭56. 5. 1

平29. 5. 1",,,,外　胃,,,,"診療所
現存
",,,,
,,15,,,,"010,754,9
",,,,小松神経科内科医院,,,,,"〒700－0822
岡山市北区表町１丁目６の３６冨山ビル２階",,,"086-233-0014
常　勤:　　　 1
(医　　　　 1)",,,小松　謙二,,,小松　謙二,,,,"昭56. 10. 1

平29. 10. 1",,,,精　内　神,,,,"診療所
現存
",,,,
,,16,,,,"010,756,4
",,,,才野眼科診療所,,,,,"〒701－0213
岡山市南区中畦３１８ー６",,,"086-298-2075
常　勤:　　　 2
(医　　　　 2)",,,才野　恂子,,,才野　恂子,,,,"昭56. 10. 1

平29. 10. 1",,,,眼,,,,"診療所
現存
",,,,
,,17,,,,"010,762,2
",,,,中村産婦人科医院,,,,,"〒700－0822
岡山市北区表町３－１７－３３",,,"086-232-7893
常　勤:　　　 1
(医　　　　 1)",,,中村　淳一,,,中村　淳一,,,,"昭57. 1. 7

平30. 1. 7",,,,産婦,,,,"診療所
現存
",,,,
,,18,,,,"010,766,3
",,,,酒井内科小児科,,,,,"〒701－0142
岡山市北区白石西新町７番１１０",,,"086-255-2131
常　勤:　　　 2
(医　　　　 2)",,,酒井　章文,,,酒井　章文,,,,"昭57. 5. 1

平30. 5. 1",,,,小　内　他,,,,"診療所
現存
",,,,
,,19,,,,"010,768,9
",,,,斉藤小児科医院,,,,,"〒703－8232
岡山市中区関２７８ー８",,,"086-279-8276
常　勤:　　　 1
(医　　　　 1)",,,斉藤　冨士子,,,斉藤　冨士子,,,,"昭57. 7. 1

平30. 7. 1",,,,小,,,,"診療所
現存
",,,,
,,20,,,,"010,783,8
",,,,大屋医院,,,,,"〒701－0135
岡山市北区東花尻２２９の１",,,"086-293-6821
常　勤:　　　 1
(医　　　　 1)",,,大屋　厚夫,,,大屋　厚夫,,,,"昭58. 6. 1

平28. 6. 1",,,,内　胃　外　皮,,,,"診療所
現存
",,,,
,,21,,,,"010,796,0
",,,,高原小児科医院,,,,,"〒700－0825
岡山市北区田町１丁目１３－７",,,"086-222-7939
常　勤:　　　 1
(医　　　　 1)",,,高原　和夫,,,高原　和夫,,,,"昭59. 5. 1

平29. 5. 1",,,,小　アレ,,,,"診療所
現存
",,,,
