Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　歯科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,1頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,1.0,,,,"010,197,7
",,,,杉原歯科医院,,,,,"〒700－0822
岡山市北区表町３丁目１８－３０",,,"086-222-8081
常　勤:　　　 1
(歯　　　　 1)",,,杉原　宏美,,,杉原　宏美,,,,"昭40. 5. 1

平28. 5. 1",,,,歯,,,,"診療所
現存
",,,,
,,2.0,,,,"010,210,8
",,,,井上歯科診療所,,,,,"〒700－0822
岡山市北区表町３－６－２４",,,"086-224-6332
常　勤:　　　 2
(歯　　　　 2)",,,井上　浩一,,,井上　浩一,,,,"昭42. 5. 1

平30. 5. 1",,,,歯　歯外,,,,"診療所
現存
",,,,
,,3.0,,,,"010,265,2
",,,,池上歯科医院,,,,,"〒700－0821
岡山市北区中山下１－５－３８－２０１",,,"086-231-0086
常　勤:　　　 1
(歯　　　　 1)",,,池上　孝,,,池上　孝,,,,"昭45. 5. 1

平30. 5. 1",,,,歯,,,,"診療所
現存
",,,,
,,4.0,,,,"010,266,0
",,,,世良歯科医院,,,,,"〒702－8053
岡山市南区築港栄町８－１",,,"086-262-0494
常　勤:　　　 2
(歯　　　　 2)",,,世良　隆文,,,世良　仁,,,,"昭45. 5. 15

平30. 5. 15",,,,歯　歯外,,,,"診療所
現存
",,,,
,,5.0,,,,"010,299,1
",,,,スナミ歯科医院,,,,,"〒700－0028
岡山市北区絵図町９－４９",,,"086-253-5171
常　勤:　　　 2
(歯　　　　 2)",,,角南　昭,,,角南　昭,,,,"昭46. 8. 1

平28. 8. 1",,,,歯,,,,"診療所
現存
",,,,
,,6.0,,,,"010,303,1
",,,,数田歯科医院,,,,,"〒704－8173
岡山市東区可知５丁目１２４の２",,,"086-942-7030
常　勤:　　　 2
(歯　　　　 2)",,,数田　泰則,,,数田　泰則,,,,"昭47. 2. 1

平29. 2. 1",,,,歯　小歯,,,,"診療所
現存
",,,,
,,7.0,,,,"010,307,2
",,,,緑川歯科医院,,,,,"〒700－0024
岡山市北区駅元町１２－２３",,,"086-252-1445
常　勤:　　　 2
(歯　　　　 2)
非常勤:　　　 1
(歯　　　　 1)",,,緑川　皓一,,,緑川　皓一,,,,"昭47. 7. 1

平29. 7. 1",,,,歯,,,,"診療所
現存
",,,,
,,8.0,,,,"010,324,7
",,,,佐藤歯科,,,,,"〒700－0822
岡山市北区表町３丁目１３－６０",,,"086-232-8241
常　勤:　　　 1
(歯　　　　 1)",,,佐藤　征紀,,,佐藤　征紀,,,,"昭49. 3. 1

平28. 3. 1",,,,歯,,,,"診療所
現存
",,,,
,,9.0,,,,"010,336,1
",,,,小橋歯科医院,,,,,"〒700－0903
岡山市北区幸町２－４",,,"086-231-3270
常　勤:　　　 2
(歯　　　　 2)",,,小橋　進,,,小橋　進,,,,"昭50. 1. 1

平29. 1. 1",,,,歯,,,,"診療所
現存
",,,,
,,10.0,,,,"010,345,2
",,,,黒住歯科中仙道診療所,,,,,"〒700－0964
岡山市北区中仙道２－６－１０",,,"086-243-7321
常　勤:　　　 1
(歯　　　　 1)",,,黒住　忠正,,,黒住　忠正,,,,"昭51. 7. 1

平30. 7. 1",,,,歯　小歯　歯外,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　歯科　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,2頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,11.0,,,,"010,353,6
",,,,横山歯科医院,,,,,"〒702－8037
岡山市南区千鳥町２２－８",,,"086-264-4565
常　勤:　　　 1
(歯　　　　 1)",,,横山　裕,,,横山　裕,,,,"昭52. 4. 1

平28. 4. 1",,,,歯,,,,"診療所
現存
",,,,
,,12.0,,,,"010,355,1
",,,,藤井歯科診療所,,,,,"〒700－0985
岡山市北区厚生町３丁目１－１５岡山商工会議所５Ｆ",,,"086-232-9255
常　勤:　　　 1
(歯　　　　 1)",,,藤井　龍平,,,藤井　龍平,,,,"昭52. 5. 1

平28. 5. 1",,,,歯,,,,"診療所
現存
",,,,
,,13.0,,,,"010,363,5
",,,,脇本歯科医院,,,,,"〒703－8267
岡山市中区山崎３１２－９３",,,"086-277-1966
常　勤:　　　 1
(歯　　　　 1)",,,脇本　泰,,,脇本　泰,,,,"昭53. 4. 1

平29. 4. 1",,,,歯,,,,"診療所
現存
",,,,
,,14.0,,,,"010,364,3
",,,,浦田歯科医院,,,,,"〒700－0913
岡山市北区大供１－２－１磯村ビル３Ｆ",,,"086-232-5061
常　勤:　　　 1
(歯　　　　 1)
非常勤:　　　 1
(歯　　　　 1)",,,福江　正機,,,福江　正機,,,,"昭53. 4. 1

平29. 4. 1",,,,歯,,,,"診療所
現存
",,,,
,,15.0,,,,"010,375,9
",,,,小田歯科医院,,,,,"〒700－0825
岡山市北区田町２丁目３番１３号",,,"086-226-2525
常　勤:　　　 1
(歯　　　　 1)",,,小田　和郎,,,小田　和郎,,,,"昭54. 4. 1

平30. 4. 1",,,,歯,,,,"診療所
現存
",,,,
,,16.0,,,,"010,379,1
",,,,ミムラ歯科医院,,,,,"〒700－0944
岡山市南区泉田一丁目２－１２",,,"086-231-0981
常　勤:　　　 1
(歯　　　　 1)",,,味村　顕太郎,,,味村　顕太郎,,,,"昭54. 5. 1

平30. 5. 1",,,,歯,,,,"診療所
現存
",,,,
,,17.0,,,,"010,382,5
",,,,盛野歯科,,,,,"〒701－0205
岡山市南区妹尾３５９７－２",,,"086-282-4188
常　勤:　　　 1
(歯　　　　 1)",,,盛野　康信,,,盛野　康信,,,,"昭54. 7. 1

平30. 7. 1",,,,歯,,,,"診療所
現存
",,,,
,,18.0,,,,"010,383,3
",,,,竹井歯科医院,,,,,"〒700－0913
岡山市北区大供１－７－５",,,"086-232-0632
常　勤:　　　 1
(歯　　　　 1)",,,竹井　一雄,,,竹井　一雄,,,,"昭54. 7. 1

平30. 7. 1",,,,歯,,,,"診療所
現存
",,,,
,,19.0,,,,"010,386,6
",,,,松尾歯科医院,,,,,"〒703－8205
岡山市中区中井二丁目１１番３５号",,,"086-275-2965
常　勤:　　　 1
(歯　　　　 1)",,,松尾　純一,,,松尾　純一,,,,"昭54. 7. 1

平30. 7. 1",,,,歯,,,,"診療所
現存
",,,,
,,20.0,,,,"010,398,1
",,,,髙知歯科医院,,,,,"〒702－8035
岡山市南区福浜町５－１２",,,"086-264-4945
常　勤:　　　 2
(歯　　　　 2)
非常勤:　　　 1
(歯　　　　 1)",,,髙知　宏喜,,,髙知　宏喜,,,,"昭55. 2. 1

平28. 2. 1",,,,歯,,,,"診療所
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
