Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　薬局　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,1頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,1.0,,,,"010,088,6
",,,,山之内薬局,,,,,"〒700－0825
岡山市北区田町２－４－６",,,"086-222-2861
常　勤:　　　 1
(薬　　　　 1)",,,山内　義昭,,,山内　義昭,,,,"昭34. 9. 1

平28. 9. 1",,,,,,,,"薬局
現存
",,,,
,,2.0,,,,"010,147,0
",,,,小松原薬局,,,,,"〒700－0932
岡山市北区奥田本町２４－１６",,,"086-233-2545
常　勤:　　　 2
(薬　　　　 2)",,,小松原　昌子,,,小松原　昌子,,,,"昭51. 4. 1

平30. 4. 1",,,,,,,,"薬局
現存
",,,,
,,3.0,,,,"010,175,1
",,,,平井薬局,,,,,"〒703－8282
岡山市中区平井４－２３－２３",,,"086-276-0661
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 2
(薬　　　　 2)",,,丸岡　稔幸,,,上原　保子,,,,"昭54. 12. 1

平27. 12. 1",,,,,,,,"薬局
現存
",,,,
,,4.0,,,,"010,191,8
",,,,ケンコウ薬局,,,,,"〒700－0013
岡山市北区伊福町３丁目３１－２２",,,"086-252-5293
常　勤:　　　 1
(薬　　　　 1)",,,青山　直子,,,青山　直子,,,,"昭56. 5. 28

平29. 5. 28",,,,,,,,"薬局
現存
",,,,
,,5.0,,,,"010,197,5
",,,,モシモシ薬局　本店,,,,,"〒703－8203
岡山市中区国府市場国長８０－１",,,"086-275-5031
常　勤:　　　 2
(薬　　　　 2)
非常勤:　　　 6
(薬　　　　 6)",,,石田　知子,,,梅原　このみ,,,,"昭57. 5. 1

平30. 5. 1",,,,,,,,"薬局
現存
",,,,
,,6.0,,,,"010,200,7
",,,,シライシ薬局,,,,,"〒701－0142
岡山市北区白石西新町８－１１１",,,"086-253-5575
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 2
(薬　　　　 2)",,,矢鍋　一恵,,,矢鍋　一恵,,,,"昭58. 2. 1

平28. 2. 1",,,,,,,,"薬局
現存
",,,,
,,7.0,,,,"010,211,4
",,,,竹内薬局,,,,,"〒700－0818
岡山市北区蕃山町１－１",,,"086-232-0061
常　勤:　　　 1
(薬　　　　 1)",,,竹内　基雄,,,竹内　基雄,,,,"昭60. 4. 19

平30. 4. 19",,,,,,,,"薬局
現存
",,,,
,,8.0,,,,"010,217,1
",,,,藤波薬局,,,,,"〒700－0822
岡山市北区表町２丁目３－４９",,,"086-222-8449
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 1
(薬　　　　 1)",,,藤波　雄次郎,,,藤波　雄次郎,,,,"昭60. 9. 21

平30. 9. 21",,,,,,,,"薬局
現存
",,,,
,,9.0,,,,"010,222,1
",,,,船越薬局,,,,,"〒700－0986
岡山市北区新屋敷町１－１０－２０",,,"086-241-3588
常　勤:　　　 1
(薬　　　　 1)",,,船越　肇,,,船越　肇,,,,"昭61. 7. 1

平28. 7. 1",,,,,,,,"薬局
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　薬局　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,2頁,,,
,,, 　 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,項 番,,,,医 療 機 関 番 号,,,,医 療 機 関 名 称,,,,医療機関所在地,,,,,"電話番号
   ／
勤務医数",開設者氏名,,,,管理者氏名,,,"指定年月日
登録理由
指定期間始",,,,,"病床数
　／
診療科名",,,,,備　考,,,,
,,10.0,,,,"010,248,6
",,,,操南薬局,,,,,"〒702－8004
岡山市中区江並７７－５",,,"086-277-0862
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 2
(薬　　　　 2)",,,清水　秋子,,,清水　圭子,,,,"平5. 11. 1

平29. 11. 1",,,,,,,,"薬局
現存
",,,,
,,11.0,,,,"010,253,6
",,,,シライシ薬局　一宮店,,,,,"〒701－1213
岡山市北区西辛川４８８－１０",,,"086-284-8673
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 1
(薬　　　　 1)",,,矢鍋　一恵,,,森　小夜子,,,,"平6. 7. 1

平30. 7. 1",,,,,,,,"薬局
現存
",,,,
,,12.0,,,,"010,295,7
",,,,東山薬局,,,,,"〒703－8281
岡山市中区東山２－２－３",,,"086-271-0338
常　勤:　　　 1
(薬　　　　 1)",,,片尾　裕美,,,片尾　裕美,,,,"平18. 1. 1
新規
平30. 1. 1",,,,,,,,"薬局
現存
",,,,
,,13.0,,,,"010,296,5
",,,,中祥薬局,,,,,"〒701－1352
岡山市北区小山２４２－１",,,"086-905-0535
常　勤:　　　 1
(薬　　　　 1)",,,濵本　泰博,,,濵本　泰博,,,,"平18. 6. 1
新規
平30. 6. 1",,,,,,,,"薬局
現存
",,,,
,,14.0,,,,"010,298,1
",,,,大西薬局　清心店,,,,,"〒700－0027
岡山市北区清心町１７－２４",,,"086-256-0800
常　勤:　　　 1
(薬　　　　 1)",,,大西　義章,,,大西　義章,,,,"平19. 7. 1
新規
令元. 7. 1",,,,,,,,"薬局
現存
",,,,
,,15.0,,,,"010,300,5
",,,,つぼい薬局,,,,,"〒701－1612
岡山市北区西山内８５番地",,,"086-299-0244
常　勤:　　　 2
(薬　　　　 2)",,,坪井　聡一郎,,,坪井　聡一郎,,,,"平20. 3. 1
移転
令2. 3. 1",,,,,,,,"薬局
現存
",,,,
,,16.0,,,,"010,301,3
",,,,渡辺薬局,,,,,"〒700－0904
岡山市北区柳町２－６－２７",,,"086-222-8661
常　勤:　　　 2
(薬　　　　 2)
非常勤:　　　 1
(薬　　　　 1)",,,渡辺　大輔,,,渡辺　大輔,,,,"平21. 1. 14
交代
平27. 1. 14",,,,,,,,"薬局
現存
",,,,
,,17.0,,,,"010,302,1
",,,,なかよし薬局,,,,,"〒701－1143
岡山市北区吉宗４２８－１３",,,"086-294-3955
常　勤:　　　 1
(薬　　　　 1)
非常勤:　　　 2
(薬　　　　 2)",,,中山　智津子,,,中山　智津子,,,,"平23. 3. 1
新規
平29. 3. 1",,,,,,,,"薬局
現存
",,,,
,,18.0,,,,"010,304,7
",,,,後藤薬局,,,,,"〒701－1221
岡山市北区芳賀５１１２－１１２",,,"086-284-5101
常　勤:　　　 2
(薬　　　　 2)",,,後藤　晃一,,,後藤　晃一,,,,"平23. 6. 1
新規
平29. 6. 1",,,,,,,,"薬局
現存
",,,,
,,19.0,,,,"010,305,4
",,,,ハラオジマ薬局,,,,,"〒703－8235
岡山市中区原尾島１－１４－１６",,,"086-271-1101
常　勤:　　　 2
(薬　　　　 2)",,,八木　克治,,,八木　克治,,,,"平23. 12. 1
交代
平29. 12. 1",,,,,,,,"薬局
現存
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[岡山県],,,,,,コード内容別医療機関一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[令和 2年11月 1日現在　薬局　現存/休止],,,,,,,,,,,,,,,,,,,,,,,,,,,,令和 2年11月 5日作成 ,,,,,,,,3頁,,,
