"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"田邑公民館榎分館","上田邑1833-8","","","","","133.96217867065897","35.101394794748856"
"阿波公民館","阿波1204-1","0868-32-7044","","http://www3.tvt.ne.jp/~kou-ie/","","134.11236279871321","35.236760970106"
"一宮公民館","東一宮84-1","0868-27-0390","","http://www3.tvt.ne.jp/~kou-ie/","","133.99770796832505","35.1008711593855"
"院庄公民館","神戸187-4","0868-28-0335","","http://www3.tvt.ne.jp/~kou-ie/","","133.94519204803987","35.060931185266121"
"院庄公民館院庄北分館","院庄999-3","","","","","133.95015464087348","35.0611395774559"
"院庄公民館院庄東分館","院庄685-5","","","","","133.95523978640179","35.056977411227081"
"院庄公民館神戸北分館","神戸913-5","","","","","133.93859356203765","35.065041052674374"
"大崎公民館","福力221","0868-26-1420","","http://www3.tvt.ne.jp/~kou-ie/","","134.06572793797804","35.045100618489116"
"加茂町公民館","加茂町塔中104","0868-42-3035","","http://www3.tvt.ne.jp/~kou-ie/","まなび館","134.05456927024687","35.178198311003683"
"河辺公民館日上分館","国分寺693-4","","","","","134.0347036278668","35.049155929253835"
"河辺公民館","国分寺592-8","0868-26-6512","","http://www3.tvt.ne.jp/~kou-ie/","農業研修施設","134.0396980061351","35.048539205884133"
"久米公民館","中北下1271","0868-57-2936","","http://www3.tvt.ne.jp/~kou-ie/","","133.89970413070492","35.060476829516659"
"城西公民館","小田中1312-10","0868-31-0102","","http://www3.tvt.ne.jp/~kou-ie/","","133.98982777354439","35.062137316874285"
"清泉公民館","堀坂256-8","0868-29-1516","","http://www3.tvt.ne.jp/~kou-ie/","","134.07076155023381","35.123772732831142"
"勝北公民館","新野東584","0868-36-2101","","http://www3.tvt.ne.jp/~kou-ie/","","134.11051472549178","35.104435890177811"
"院庄公民館 神戸山根分館","神戸147-2","","","","","133.94544692936122","35.06815041690264"
"清泉公民館三浦分館","三浦257-1","","","","","134.07835683729715","35.142782219444086"
"成名公民館","野村134-3","0868-29-3207","","http://www3.tvt.ne.jp/~kou-ie/","","134.07405477984227","35.089593186521128"
"佐良山公民館","平福562","0868-28-2543","","http://www3.tvt.ne.jp/~kou-ie/","農業研修施設","133.97149929246953","35.04908340074055"
"佐良山公民館一方南分館","一方1194-1","","","","","133.98588150746718","35.043924166020339"
"高倉公民館","下高倉西58-4","0868-29-1513","","http://www3.tvt.ne.jp/~kou-ie/","","134.04408090993144","35.099299730733549"
"高倉公民館 下高倉西分館","下高倉西1786","","","","","134.03671123877504","35.100098697013827"
"高田公民館","下横野855-2","0868-27-0371","","http://www3.tvt.ne.jp/~kou-ie/","","134.02588375398201","35.116482487855066"
"高田公民館 大篠分館","大篠517","","","","","134.03342975868742","35.106009094032167"
"高野公民館","高野本郷1683-2","0868-26-1056","","http://www3.tvt.ne.jp/~kou-ie/","","134.05969797726243","35.0759678087501"
"田邑公民館","下田邑114-1","0868-28-0902","","http://www3.tvt.ne.jp/~kou-ie/","","133.96767149814474","35.081792391379416"
"田邑公民館瀬戸俵田分館","下田邑1554-1","","","","","133.962414275205","35.072298150958773"
"中央公民館 総社西分館","総社1391-2","","","","","133.98732872952095","35.072270543737076"
"中央公民館上兼田分館","川崎1686-4","","","","","134.03522877519518","35.062794993012105"
"中央公民館","大谷600","0868-24-5111","","http://www3.tvt.ne.jp/~kou-ie/","","133.99368688347684","35.052292795833566"
"中央公民館西八出分館","八出996-2","","","","","134.01440214078909","35.056880846731623"
"中央公民館東八出分館","八出669-3","","","","","134.01529297066025","35.05506504783456"
"中央公民館東野介代分館","野介代1535","","","","","134.03417586350898","35.067893950448749"
"西苫田公民館","小原67-1","0868-24-3210","","http://www3.tvt.ne.jp/~kou-ie/","","134.00012184195759","35.077701965546886"
"二宮公民館","二宮1982-2","0868-28-3292","","http://www3.tvt.ne.jp/~kou-ie/","","133.96862603782159","35.060642501861906"
"広野公民館","田熊1963-1","0868-29-0380","","http://www3.tvt.ne.jp/~kou-ie/","","134.08308851676935","35.070664431745122"
"東苫田公民館","勝部20-7","0868-22-2686","","http://www3.tvt.ne.jp/~kou-ie/","勤労者総合福祉センター内","134.01507628568831","35.08587022348263"
"福南公民館","押渕376","0868-23-6374","","http://www3.tvt.ne.jp/~kou-ie/","","134.02592871629307","35.020359588693651"
"久米公民館油木分館","油木下635-6","","","","","133.89967863661","35.014329641532342"
"久米公民館柳分館","南方中842-１","","","","","133.89288826143542","35.059280813248634"
"津山東公民館","津山市川崎796-2","0868-32-1511","","http://www3.tvt.ne.jp/~kou-ie/","","134.02227510052992","35.065502335658941"
