"名称","住所","TEL","FAX","URL","備考1","備考2","備考3","備考4","備考5","世界_10進_X","世界_10進_Y"
"福力荒神社","福力130","0868-26-3305","","http://www.tsuyamakan.jp/tour/detail/?pk=80","西暦1403年の創建と伝えられ、祭神は国土鎮護の神とされるスサノオノミコトです。神社に残る逸話から安産とマムシよけの神様として知られており、江戸時代から付近の住民たちの厚い信仰を集めてきました。旧正月の三が日に開かれる大祭には、参道が人で埋め尽くされます。","","","","","134.06738489751604","35.046195717781139"
"22世紀の森","加茂町宇野","","","http://www.tsuyamakan.jp/tour/detail/?pk=34","「人咲く、水と森の郷」として町の中に水と森の風景が多くある加茂地域。豊富な水資源は豊富な森林が作り出すことを次代の人たちに伝えていくために、市有林20ヘクタールを「22世紀の森」と定め、西暦2101年まで保護していくこととしています。","","","","","134.00272532834038","35.214668652134804"
"坪井宿の町並み","坪井下","","","","","","","","","133.86844550256359","35.060530559637577"
"ホタルの里","宮部上","0868-32-7014（久米支所産業建設課）","","http://www.tsuyamakan.jp/tour/detail/?pk=12","久米川の支流、宮部川の上流にあり、休憩所もあり、夏には日没時にホタルが飛びかう光景が見えます。","","","","","133.86889980831074","35.075857204566937"
"国分寺","国分寺483","","","","奈良時代に建立され美作国の文化の中心を担う地だったといわれています。国分寺跡と国分尼寺跡の発掘調査により、約200㎡の寺域に門、金堂、講堂、塔などが南向きに建ち並んでいたことがわかりました。現在の本堂は、西暦1828年に再建されたものです。","","","","","134.04184694881494","35.05002517495101"
"千光寺のしだれ桜","林田1703","0868-22-7978","","","旧出雲街道から山の手に少し入ったところにある千光寺。樹齢１００年以上、高さ２０ｍを超えるこのしだれ桜は、寺のシンボルとも言えます。４月上旬に満開となったその姿はまさに“圧巻”です。","","","","","134.01260570127903","35.064078810061886"
"高田神社","上横野79-1","0868-27-0164","","http://www.tsuyamakan.jp/tour/detail/?pk=69","毎年第２日曜日に、高田神社では勇壮な獅子舞が繰り広げられ、県外からも観光客が訪れます。それぞれ12人ずつの舞い手が入った雌雄二頭の獅子が、獅子頭と呼ばれる総指揮者2人の号令のもと、笛や太鼓の拍子に合わせて闘争的に舞う姿は圧巻です。 <BR>交通　JR津山駅から8km","","","","","134.01573808241662","35.112537322805963"
"つやま自然のふしぎ館","山下98-1","0868-22-3518","","http://www.fushigikan.jp/index.html","津山基督教図書館創立者の森本慶三氏と嗣子健三氏が、30年の歳月を費やしてオープンした自然科学の宝庫。館内には世界各地の野生動物、植物、鉱物、化石等による自然界の変遷ほか、岡山三大河川の淡水魚と日本近海の珍しい魚類標本や植物の標本などを展示しています。","","","","","134.00512173384558","35.060989249770316"
"鶴山八幡宮","山北159","0868-23-1579","","","津山城(鶴山城)築城の際に城内から移転してきたもので、桃山様式の本殿は国の重要文化財に指定されています。拝殿、釣殿などは県重要文化財で、津山を訪れた人はぜひ一見の価値あり。  <BR>交通　JR津山駅から2km、車10分","","","","","133.99860932288811","35.069209623356819"
"中山神社","一宮695","0868-27-0051","","http://www.tsuyamakan.jp/tour/detail/?pk=68","津山市の北、美作一の宮にある珍しい中山造りの建築。本殿は永禄2年に再建され、国の重要文化財に指定されています。牛馬の神としても有名で、奥宮には「今昔物語」に記載されている「猿神社」もあり必見です。 <BR>交通　JR津山駅から6km、バス20分（中山神社下車）","","","","","133.99466816111681","35.1001640350524"
"楢の常夜灯","楢37-2","","","","内陸都市の津山にかつて“港町”があった。と言っても本当の港町ではなく、加茂川を行き交う高瀬舟の船着き場のことです。市東北部の楢地区にはその船着き場が置かれ、年貢米などの物資の集積地となり、民家や商家、蔵、旅館などが立ち並びにぎわったそうです。","","","","","134.07604224327196","35.090031696820034"
"古大隅神社","林田755","","","","鎮座の年代は明らかではありませんが、和銅年間以前に「豊手」という異人（特別な能力、技術を持つ人）が出雲の大神を勧請したのが始まりと伝わっています。<BR>西暦1620年に津山藩主森忠政の命により、上之町にある大隅神社に社替えされた後「若宮様」「古大隅様」と呼ばれるようになりました。","","","","","134.02470701388449","35.066213705368256"
"八出天満宮","八出357","","","","主祭神を菅原道真とする八出天満宮は、大イチョウと受験生らの信仰を集めることで有名です。秋には大イチョウが見事に黄色に染まり、毎年1月の合格祈願祭には県北一帯からたくさんの受験生とその家族が訪れます。","","","","","134.0193663042823","35.059825904119478"
