"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"三楽園","一方218－1","0868-22-7347","","","救護施設","133.98041663403708","35.056352168794483"
"有楽荘","一方137-5","0868-23-8333","","","授産施設","133.97973577737369","35.055196876958526"
"みすず荘","瓜生原326-1","0868-26-3118","","","障がい者支援施設","134.04145037857668","35.042671639292422"
"あすなろ園","西下1003-1","0868-36-3606","","","障がい者支援施設","134.09054358768037","35.1064787484927"
"セルプ弥生","勝部609-1","0868-24-1588","","","身体障害者通所授産施設","134.02253680658058","35.08923677038706"
"どんぐり工房","下高倉西1823-1","0868-29-0012","","","生活介護・就労継続支援Ｂ型","134.03561885138723","35.098393847766687"
"社会就労センター　さくらワークヒルズ","勝部563","0868-31-3221","","","就労継続支援Ｂ型","134.02251707466718","35.089945453330138"
"トラストワークス","二宮646","0868-28-1717","","","就労継続支援Ｂ型","133.96410358303166","35.061322988229719"
"サポートセンター・ウィズ","田町115-6","0868-22-3192","","","就労継続支援Ｂ型","133.99559664801302","35.063760790420069"
"就労支援センター　きんかえも","小田中676-1","0868-24-2745","","","就労継続支援Ｂ型","133.9883760943809","35.069107301935105"
"共同生活援助事業所　姫山の里","下高倉西440","0868-29-3505","","","グループホーム（共同生活援助）","134.04868508317057","35.091438287671537"
"塩手荘","市場2151","0868-36-4992","","","養護老人ホーム","134.12791302096412","35.1176330454648"
"母恵夢","院庄910","0868-28-3251","","","就労継続支援Ｂ型","133.95561156798783","35.06096330277726"
"サンライフみのり","二宮999","0868-28-1007","","","特別養護老人ホーム","133.96649502563045","35.068417467747388"
"日本原荘","新野東1797","0868-36-3838","","","特別養護老人ホーム","134.12899231358844","35.104850063894112"
"緑山荘","加茂町小中原115","0868-42-3662","","","特別養護老人ホーム","134.04890376068789","35.178147098809717"
"愛和荘","桑下1272-3","0868-57-9800","","","特別養護老人ホーム","133.92054744111348","35.0288847225368"
"第三日本原荘","新野東1798-1","0868-36-3838","","","特別養護老人ホーム","134.12756243656733","35.1037474363066"
"グループホームのどか","神戸262-1","0868-28-7555","","","グループホーム（認知症対応型）","133.94522642494368","35.057311059079126"
"グループホームほほえみ","下高倉西549-43","0868-29-0078","","","グループホーム（認知症対応型）","134.04898567735913","35.0848736207276"
"グループホーム愛","桑下1227-2","0868-57-8002","","","グループホーム（認知症対応型）","133.92134791762516","35.029549358747914"
"グループホーム生き生き館津山","大谷611-2","0868-32-3101","","","グループホーム（認知症対応型）","133.99292651817055","35.054286425481486"
"グループホーム久米","久米川南2551-1","0868-57-7088","","","グループホーム（認知症対応型）","133.94254910690074","35.044475137182978"
"グループホーム敬愛","東一宮22-10","0868-27-7761","","","グループホーム（認知症対応型）","134.00156482005724","35.095913186676221"
"グループホーム国府の里","総社34-1","0868-23-6650","","","グループホーム（認知症対応型）","133.99691329176389","35.075455114599578"
"グループホーム作楽","神戸571-1","0868-28-7110","","","グループホーム（認知症対応型）","133.94047345643128","35.065802035719656"
"グループホームさくらんぼ","日上1468-1","0868-26-8666","","","グループホーム（認知症対応型）","134.02470650539473","35.05263553064556"
"グループホームじーちゃん、ばーちゃんの家","大谷295-1","0868-22-6588","","","グループホーム（認知症対応型）","133.99929062561557","35.052258837929827"
"グループホーム杉宮","杉宮820-1","0868-29-7811","","","グループホーム（認知症対応型）","134.08785484540763","35.089573500401315"
"グループホーム総社","総社309","0868-22-2888","","","グループホーム（認知症対応型）","133.99224059803265","35.076239410605616"
"グループホームねむの樹","高野本郷1691-3","0868-26-3453","","","グループホーム（認知症対応型）","134.05921215310343","35.07550127945138"
"グループホームのどか","下高倉西544-1","0868-29-7787","","","グループホーム（認知症対応型）","134.04891878598113","35.086116807565396"
"グループホーム日だまりハウス","桑下1312-1","0868-57-3020","","","グループホーム（認知症対応型）","133.91917888525694","35.0280344798495"
"グループホーム日だまりハウス別館","桑下1316-1","0868-57-3020","","","グループホーム（認知症対応型）","133.91908694916634","35.027665306090334"
"共同生活援助事業所　サンコート","一方219-11","0868-22-7347","","","グループホーム（共同生活援助）","133.98037291224543","35.056956388928988"
"津山老人福祉センター","皿867","0868-28-1781","","","老人福祉センター","133.97183610459209","35.04431942881908"
"高齢者総合福祉施設　めぐみ荘","加茂町小中原143","0868-42-7330","","","老人福祉施設","134.05010642922878","35.178066605557028"
"阿波保健福祉センター(浴室棟）","阿波1198","0868-46-7111","","","老人福祉施設","134.11229579813971","35.235728613233171"
"久米高齢者生活福祉センター　やすらぎの丘","桑下1228-6","0868-57-8760","","","老人福祉施設","133.92120388673982","35.028984726216244"
"勝北老人憩の家","新野東1126-1","","","","老人憩の家","134.11414357400722","35.105430581836828"
"津山中央福祉産院","川崎1756","0868-21-8111","","","助産施設","134.039746095387","35.06483055464598"
"津山市総合福祉会館","山北520","0868-23-5130","","","福祉会館","134.00533377733831","35.069308287306256"
"老人福祉センター陶芸・木彫の家","皿870-3","0868-28-1781","","","共同作業所","133.971778442312","35.044318319480531"
"津山市シルバー人材センター","山北638-1","0868-23-5378","","","共同作業所","134.00702904457722","35.072548868932465"
"ふれあいサロン","南新座34","0868-24-3600","","","高齢者福祉施設","133.99784868427147","35.057386691339495"
"勝北高齢者共同作業所","新野東1126-1","0868-36-5785","","","共同作業所","134.11433905796935","35.105374332704351"
